orgId,registrationId,material
61060,aaa000000000000000061060,Aluminium
61013,aaa000000000000000061013,Wood
61068,aaa000000000000000061068,Paper
61023,aaa000000000000000061023,Glass
61093,aaa000000000000000061093,Glass
61025,aaa000000000000000061025,Aluminium
61015,aaa000000000000000061015,Plastic
61017,aaa000000000000000061017,Steel
61099,aaa000000000000000061099,Plastic
61037,aaa000000000000000061037,Glass
61071,aaa000000000000000061071,Plastic
61010,aaa000000000000000061010,Steel
61049,aaa000000000000000061049,Fibre
61046,aaa000000000000000061046,Aluminium
61003,aaa000000000000000061003,Steel
61024,aaa000000000000000061024,Steel
61065,aaa000000000000000061065,Glass
61066,aaa000000000000000061066,Steel
61020,aaa000000000000000061020,Wood
61094,aaa000000000000000061094,Steel
61090,aaa000000000000000061090,Wood
61054,aaa000000000000000061054,Paper
61062,aaa000000000000000061062,Wood
61091,aaa000000000000000061091,Fibre
61027,aaa000000000000000061027,Wood
61040,aaa000000000000000061040,Paper
61089,aaa000000000000000061089,Paper
61012,aaa000000000000000061012,Paper
61053,aaa000000000000000061053,Aluminium
61038,aaa000000000000000061038,Steel
61032,aaa000000000000000061032,Aluminium
61042,aaa000000000000000061042,Fibre
61007,aaa000000000000000061007,Fibre
61022,aaa000000000000000061022,Plastic
61005,aaa000000000000000061005,Paper
61058,aaa000000000000000061058,Glass
61026,aaa000000000000000061026,Paper
61079,aaa000000000000000061079,Glass
61004,aaa000000000000000061004,Aluminium
61059,aaa000000000000000061059,Steel
61077,aaa000000000000000061077,Fibre
61016,aaa000000000000000061016,Glass
61075,aaa000000000000000061075,Paper
61034,aaa000000000000000061034,Wood
61001,aaa000000000000000061001,Plastic
61097,aaa000000000000000061097,Wood
61061,aaa000000000000000061061,Paper
61033,aaa000000000000000061033,Paper
61087,aaa000000000000000061087,Steel
61085,aaa000000000000000061085,Plastic
61009,aaa000000000000000061009,Glass
61080,aaa000000000000000061080,Steel
61021,aaa000000000000000061021,Fibre
61100,aaa000000000000000061100,Glass
61051,aaa000000000000000061051,Glass
61028,aaa000000000000000061028,Fibre
61072,aaa000000000000000061072,Glass
61074,aaa000000000000000061074,Aluminium
61076,aaa000000000000000061076,Wood
61030,aaa000000000000000061030,Glass
61041,aaa000000000000000061041,Wood
61064,aaa000000000000000061064,Plastic
61070,aaa000000000000000061070,Fibre
61092,aaa000000000000000061092,Plastic
61043,aaa000000000000000061043,Plastic
61047,aaa000000000000000061047,Paper
61081,aaa000000000000000061081,Aluminium
61056,aaa000000000000000061056,Fibre
61018,aaa000000000000000061018,Aluminium
61011,aaa000000000000000061011,Aluminium
61036,aaa000000000000000061036,Plastic
61069,aaa000000000000000061069,Wood
61019,aaa000000000000000061019,Paper
61014,aaa000000000000000061014,Fibre
61008,aaa000000000000000061008,Plastic
61048,aaa000000000000000061048,Wood
61031,aaa000000000000000061031,Steel
61050,aaa000000000000000061050,Plastic
61084,aaa000000000000000061084,Fibre
61035,aaa000000000000000061035,Fibre
61002,aaa000000000000000061002,Glass
61086,aaa000000000000000061086,Glass
61057,aaa000000000000000061057,Plastic
61045,aaa000000000000000061045,Steel
61055,aaa000000000000000061055,Wood
61006,aaa000000000000000061006,Wood
61039,aaa000000000000000061039,Aluminium
61083,aaa000000000000000061083,Wood
61088,aaa000000000000000061088,Aluminium
61078,aaa000000000000000061078,Plastic
61095,aaa000000000000000061095,Aluminium
61044,aaa000000000000000061044,Glass
61098,aaa000000000000000061098,Fibre
61082,aaa000000000000000061082,Paper
61073,aaa000000000000000061073,Steel
61067,aaa000000000000000061067,Aluminium
61052,aaa000000000000000061052,Steel
61096,aaa000000000000000061096,Paper
61029,aaa000000000000000061029,Plastic
61063,aaa000000000000000061063,Fibre
